name,id,chains,tvl
Aave V3,1599,Ethereum,39253972472.35026
Aave V3,1599,Sonic,39253972472.35026
Aave V3,1599,Plasma,39253972472.35026
Aave V3,1599,Harmony,39253972472.35026
Aave V3,1599,Fantom,39253972472.35026
Aave V3,1599,Metis,39253972472.35026
Aave V3,1599,zkSync Era,39253972472.35026
Aave V3,1599,Celo,39253972472.35026
Aave V3,1599,Scroll,39253972472.35026
Aave V3,1599,Soneium,39253972472.35026
Aave V3,1599,xDai,39253972472.35026
Aave V3,1599,Polygon,39253972472.35026
Aave V3,1599,Binance,39253972472.35026
Aave V3,1599,Linea,39253972472.35026
Aave V3,1599,Avalanche,39253972472.35026
Aave V3,1599,Base,39253972472.35026
Aave V3,1599,Arbitrum,39253972472.35026
Aave V3,1599,Optimism,39253972472.35026
Morpho V1,4025,Binance,7890467901.639842
Morpho V1,4025,Soneium,7890467901.639842
Morpho V1,4025,Optimism,7890467901.639842
Morpho V1,4025,Fraxtal,7890467901.639842
Morpho V1,4025,Sonic,7890467901.639842
Morpho V1,4025,Etherlink,7890467901.639842
Morpho V1,4025,Bitlayer,7890467901.639842
Morpho V1,4025,xDai,7890467901.639842
Morpho V1,4025,Zircuit,7890467901.639842
Morpho V1,4025,Abstract,7890467901.639842
Morpho V1,4025,Mode,7890467901.639842
Morpho V1,4025,Hemi,7890467901.639842
Morpho V1,4025,Scroll,7890467901.639842
Morpho V1,4025,Ink,7890467901.639842
Morpho V1,4025,Botanix,7890467901.639842
Morpho V1,4025,Ethereum,7890467901.639842
Morpho V1,4025,Base,7890467901.639842
Morpho V1,4025,Lisk,7890467901.639842
Morpho V1,4025,Katana,7890467901.639842
Morpho V1,4025,Arbitrum,7890467901.639842
Morpho V1,4025,Plume Mainnet,7890467901.639842
Morpho V1,4025,Hyperliquid L1,7890467901.639842
Morpho V1,4025,World Chain,7890467901.639842
Morpho V1,4025,Unichain,7890467901.639842
Morpho V1,4025,Polygon,7890467901.639842
Morpho V1,4025,TAC,7890467901.639842
Morpho V1,4025,Sei,7890467901.639842
Morpho V1,4025,Corn,7890467901.639842
SparkLend,2929,Ethereum,5787656349.940777
SparkLend,2929,xDai,5787656349.940777
JustLend,494,Tron,4655900600.313012
Kamino Lend,3770,Solana,3023562299.441824
Maple,587,Ethereum,2989219715.0837817
Maple,587,Solana,2989219715.0837817
Compound V3,2088,Scroll,2217250691.0692496
Compound V3,2088,Ronin,2217250691.0692496
Compound V3,2088,Unichain,2217250691.0692496
Compound V3,2088,Mantle,2217250691.0692496
Compound V3,2088,Polygon,2217250691.0692496
Compound V3,2088,Optimism,2217250691.0692496
Compound V3,2088,Arbitrum,2217250691.0692496
Compound V3,2088,Ethereum,2217250691.0692496
Compound V3,2088,Base,2217250691.0692496
Fluid Lending,4167,Ethereum,2143630716.6913495
Fluid Lending,4167,Plasma,2143630716.6913495
Fluid Lending,4167,Arbitrum,2143630716.6913495
Fluid Lending,4167,Base,2143630716.6913495
Fluid Lending,4167,Polygon,2143630716.6913495
Venus Core Pool,212,Unichain,2047494310.2650752
Venus Core Pool,212,Op_Bnb,2047494310.2650752
Venus Core Pool,212,Optimism,2047494310.2650752
Venus Core Pool,212,Base,2047494310.2650752
Venus Core Pool,212,zkSync Era,2047494310.2650752
Venus Core Pool,212,Arbitrum,2047494310.2650752
Venus Core Pool,212,Ethereum,2047494310.2650752
Venus Core Pool,212,Binance,2047494310.2650752
Euler V2,5044,Mantle,1677396430.864405
Euler V2,5044,BOB,1677396430.864405
Euler V2,5044,Berachain,1677396430.864405
Euler V2,5044,Unichain,1677396430.864405
Euler V2,5044,Base,1677396430.864405
Euler V2,5044,Sonic,1677396430.864405
Euler V2,5044,Swellchain,1677396430.864405
Euler V2,5044,Binance,1677396430.864405
Euler V2,5044,TAC,1677396430.864405
Euler V2,5044,Arbitrum,1677396430.864405
Euler V2,5044,Linea,1677396430.864405
Euler V2,5044,Avalanche,1677396430.864405
Euler V2,5044,Plasma,1677396430.864405
Euler V2,5044,Ethereum,1677396430.864405
Lista Lending,6056,Binance,1090574067.7848594
Jupiter Lend,6600,Solana,805515965.9147985
HyperLend Pooled,5940,Hyperliquid L1,590042781.3300534
Suilend,4274,Sui,543293115.8404815
Compound V2,114,Ethereum,503700456.06603265
NAVI Lending,3323,Sui,428581076.59014386
cap,6579,Ethereum,341653451.74593335
Benqi Lending,467,Avalanche,272322262.10671884
Aave V2,111,Ethereum,266223827.70779225
Aave V2,111,Polygon,266223827.70779225
Aave V2,111,Avalanche,266223827.70779225
Echo Lending,5051,Aptos,251627342.2905011
Gearbox,1108,Ethereum,237340280.85851306
Gearbox,1108,Hemi,237340280.85851306
Gearbox,1108,Plasma,237340280.85851306
Gearbox,1108,Sonic,237340280.85851306
Gearbox,1108,Optimism,237340280.85851306
Gearbox,1108,Binance,237340280.85851306
Gearbox,1108,Arbitrum,237340280.85851306
Gearbox,1108,Lisk,237340280.85851306
Gearbox,1108,Etherlink,237340280.85851306
Tydro,6875,Ink,233058296.3868091
YeiLend,4721,Sei,220729524.48298657
EtherFi Borrowing Market,6372,Scroll,209746644.83050668
Save,458,Solana,193287402.38763577
Save,458,Eclipse,193287402.38763577
Dolomite,2187,Botanix,179132887.0057098
Dolomite,2187,Mantle,179132887.0057098
Dolomite,2187,Polygon zkEVM,179132887.0057098
Dolomite,2187,X Layer,179132887.0057098
Dolomite,2187,Ethereum,179132887.0057098
Dolomite,2187,Berachain,179132887.0057098
Dolomite,2187,Arbitrum,179132887.0057098
Silo V2,5611,Avalanche,173146627.3834749
Silo V2,5611,Arbitrum,173146627.3834749
Silo V2,5611,Sonic,173146627.3834749
Silo V2,5611,Ethereum,173146627.3834749
Echelon Market,4367,Aptos,172859031.63395256
Echelon Market,4367,Echelon Chain,172859031.63395256
Morpho V0 AaveV3,3014,Ethereum,166457909.03942895
Moonwell Lending,1853,Base,166344970.2989933
Moonwell Lending,1853,Optimism,166344970.2989933
Moonwell Lending,1853,Moonbeam,166344970.2989933
marginfi Lending,2570,Solana,160185822.73138562
AlphaLend,6153,Sui,148254540.166994
Tectonic,1115,Cronos,142695534.31597745
Takara Lend,5783,Sei,124502148.42403711
Hydration Lending,6271,HydraDX,123354404.90358837
Kinetic,4915,Flare,115196839.95942424
HypurrFi Pooled,5838,Hyperliquid L1,111788443.37662993
Sumer.money,3814,Base,111213520.2870727
Sumer.money,3814,BSquared,111213520.2870727
Sumer.money,3814,Bitlayer,111213520.2870727
Sumer.money,3814,Binance,111213520.2870727
Sumer.money,3814,Hemi,111213520.2870727
Sumer.money,3814,zkLink,111213520.2870727
Sumer.money,3814,CORE,111213520.2870727
Sumer.money,3814,Goat,111213520.2870727
Sumer.money,3814,Meter,111213520.2870727
Sumer.money,3814,Arbitrum,111213520.2870727
Sumer.money,3814,Ethereum,111213520.2870727
Sumer.money,3814,Berachain,111213520.2870727
Rhea Lend,1546,Near,109700740.15154833
Capyfi,5001,Ethereum,106767778.50474806
Capyfi,5001,LaChain Network,106767778.50474806
Capyfi,5001,World Chain,106767778.50474806
Curve LlamaLend,4321,Ethereum,101255121.90253013
Curve LlamaLend,4321,Arbitrum,101255121.90253013
Curve LlamaLend,4321,Fraxtal,101255121.90253013
