date,csu,chain,n_liquidations,total_collateral_usd,total_debt_usd,n_unique_borrowers,n_unique_liquidators,n_priced,avg_collateral_usd,avg_debt_usd,pct_priced,has_liquidation,log_collateral_usd,log_debt_usd,log_n_liquidations
2023-08-09,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-10,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-11,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-12,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-13,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-14,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-15,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-16,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-17,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-18,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-19,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-20,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-21,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-22,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-23,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-24,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-25,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-26,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-27,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-28,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-29,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-30,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-08-31,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-01,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-02,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-03,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-04,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-05,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-06,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-07,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-08,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-09,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-10,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-11,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-12,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-13,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-14,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-15,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-16,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-17,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-18,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-19,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-20,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-21,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-22,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-23,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-24,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-25,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-26,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-27,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-28,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-29,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-09-30,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-10-01,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-10-02,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-10-03,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2023-10-04,aave_v3_arbitrum,arbitrum,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
