token,avg_weight_pct,n_csus,n_days,price_min,price_max,price_mean,price_range_pct,classification
USD₮,53.48970430446057,1,290,0.99822035,1.00114628,1.0000432506206898,0.2931146414716812,stablecoin
BTCB,36.94582283226502,2,731,39640.036,124358.30730296,83781.71215973084,213.71895651901025,volatile
BNB,28.59277322135545,1,730,288.66,1298.1621785729808,656.7831805543318,349.7201477769628,volatile
sAVAX,27.229879220628675,2,731,14.48920886,68.85697908,33.393778991190146,375.2293913720283,volatile
BTC.b,26.201694717594375,2,731,39654.87385408,124323.08,83780.84261277637,213.51273605730734,volatile
WAVAX,24.183289976459758,1,728,11.67669741,60.56639262,28.29244640313187,418.69454601204745,volatile
WETH,23.49143610900412,36,731,1417.69,4789.48051643,3056.474779699036,237.83694012301697,volatile
ZK,22.01406563176743,1,398,0.02628996,0.2696771,0.08033461831658292,925.7798033926258,volatile
ETH,20.833233752994726,6,731,1419.7653,4791.64,3056.409949372674,237.49521839982992,volatile
WBTC,20.535152318100096,25,731,39633.73208,124365.63,83775.3841362808,213.78733082458683,volatile
pzETH,20.344195808380526,1,486,1751.21,5863.96,3621.1101832204927,234.85190239891276,volatile
AERO,20.16291688566798,2,605,0.29926647,2.19962,0.9158732121818182,635.0038245179956,volatile
sDAI,20.01613000420071,4,731,1.038877465,1.1697241025746212,1.1225675435883815,12.595002007731605,stablecoin
USD₮0,17.963786795792636,5,337,0.99846817,1.00150659,1.0000354309198813,0.3043081483508958,stablecoin
M-BTC,16.104233028068958,1,399,75250.78,124480.08017734,101288.51100369093,65.4203188024629,volatile
WBNB,16.071554605027046,2,708,288.62864591,1297.47561657,668.573409391017,349.5311310764969,volatile
ezETH,15.188344471646584,12,669,1475.33620804,5067.07622799,3207.257182353113,243.4523060151601,volatile
USDC,14.835587792218377,39,731,1.0,1.0,1.0,0.0,stablecoin
USDT,14.707844175603096,26,731,1.0,1.0,1.0,0.0,stablecoin
cbBTC,13.743270527296632,10,476,57883.4002793,124386.64535199999,96590.00084785114,114.89173882634289,volatile
USDS,13.648861634646519,4,456,1.0,1.0,1.0,0.0,stablecoin
WXDAI,13.641373720494675,1,731,1.0,1.0,1.0,0.0,stablecoin
wrsETH,13.374310489202337,8,594,1478.619389347906,5031.555741282693,3176.4639352272457,240.28741794747376,volatile
AVAX,13.319452829378028,1,731,11.669518183239166,60.85,28.426969079465273,421.44397947293453,volatile
wstETH,13.278466131792051,30,731,1699.7088158500003,5803.74799439,3636.7127659414155,241.45542696897925,volatile
wS,12.587921844546111,2,304,0.06881817,0.62070411,0.3204685247368421,801.9480029765396,volatile
USDC.e,12.448554661729677,6,731,1.0,1.0,1.0,0.0,stablecoin
USDbC,11.880072512876742,3,731,1.0,1.0,1.0,0.0,stablecoin
weETH,11.639669386228386,18,669,1508.79279882,5151.077572165,3284.203743143809,241.4039075606383,volatile
GNO,10.657175180695509,2,731,96.8655175,439.336021405,200.27906459396957,353.5525466066911,volatile
PENDLE,10.041316361851095,1,640,0.000699238656594325,3.5609726654868536,2.023078103882007,509164.2736359486,volatile
USDT0,9.985127037903215,3,127,0.99838602,1.00125409,0.9999657221259843,0.28727064908220523,stablecoin
WMATIC,9.885894910529926,4,268,0.36697,1.25186374,0.7017187352611941,241.13517181240968,volatile
cbETH,9.719341068293078,6,731,1555.1493358,5314.3902139,3331.8666386187074,241.72861033735848,volatile
cUSD,9.713057579676127,1,274,0.9986188499999998,1.00182182,1.0000125359854015,0.3207399900372554,stablecoin
QUICK,7.113843988695038,1,709,3.7852124654358366,100.62,38.82153226914972,2558.23915880015,volatile
rsETH,6.877233441683039,7,669,1478.80197867,5042.54130719,3204.6682959193204,240.98827158218606,volatile
sUSDS,6.861248214718102,4,437,1.00586864,1.08138318,1.049763560320366,7.507395796731453,stablecoin
USDt,6.757035969468333,2,731,1.0,1.0,1.0,0.0,stablecoin
pufETH,6.596682042961593,2,212,1.050987,4974.430180721523,2963.8679454723992,473210.343583843,volatile
CELO,6.5457663838024915,1,290,0.10957,0.46746,0.2890588237586207,326.63137720178884,volatile
ARB,6.473473125377136,6,731,0.18082573,2.33954,0.7353537098221614,1193.8092383202325,volatile
deUSD,5.92231286441979,3,163,1e-08,1.002,0.7429099255345771,10019999900.0,stablecoin
stS,5.9048324929515115,2,246,0.07206161,0.62375282,0.28567030239837404,765.5826868147964,volatile
sFRAX,5.663453787630522,1,408,0.98678,1.23,1.1133806756131053,24.64784450434747,stablecoin
USDm,5.128884984647604,1,16,0.9999409500000002,1.00067586,1.0002852618750002,0.0734953398998206,stablecoin
WETH.e,4.2220614233992375,2,731,1418.57,4792.444,3056.4713199472094,237.83627173844087,volatile
MaticX,4.129147563187325,2,731,0.11595822,1.38118087,0.4894921525991792,1091.1021659352825,volatile
stMATIC,3.9766517715614187,2,731,0.11347736,1.38944456,0.4908645960328317,1124.424466695383,volatile
asBNB,3.9592192728832227,1,192,676.4180038953416,1375.277130054073,948.657656314657,103.31764118254637,volatile
AAVE,3.879693460560735,9,731,73.8068395,384.00166534,187.001913230896,420.27924233227736,volatile
OP,3.6824125870109006,3,731,0.26517871,4.73246161,1.5675596420656632,1684.6310550345465,volatile
xSolvBTC,3.669547919224931,1,210,84184.4256372,124352.19674331,106968.81287117336,47.714016936121254,volatile
BAT,3.646273316949878,1,723,0.112265,0.375442,0.19912008629599603,234.42479846791073,volatile
SolvBTC,3.5498630076678106,1,432,66301.0,124352.19674331,99710.22815572082,87.55704550958508,volatile
WPOL,3.1933244023372134,4,463,0.098566,0.71410631,0.2804643315766739,624.4955765679849,volatile
DAI,3.048353440478055,15,731,1.0,1.0,1.0,0.0,stablecoin
FDUSD,2.940196027233544,2,731,1.0,1.0,1.0,0.0,stablecoin
MORPHO,2.823800141699738,1,270,0.8552700600000002,2.6533395,1.6320019834074075,210.23411482450345,volatile
GHO,2.4131760848746464,7,548,1.0,1.0,1.0,0.0,stablecoin
cbXRP,2.079040399248814,1,197,1.8275559999999997,3.6130078,2.5787079015228427,97.6961472042444,volatile
EURe,1.9140599332823602,1,612,1.009,1.19,1.1106705709637454,17.938553022794856,stablecoin (EUR)
wBETH,1.90556374805719,1,731,1566.79,5143.94192879,3234.4772678144554,228.31087310935095,volatile
rETH,1.8668870651046747,8,731,1608.43744118,5482.50338852,3439.7110494208137,240.85897580809012,volatile
sUSD,1.7860305096174325,1,729,1.0,1.0,1.0,0.0,stablecoin
AUSD,1.7615478728858105,2,369,1.0,1.0,1.0,0.0,stablecoin
PT-sUSDE-27NOV2025,1.691859892909968,1,119,0.9808588200000001,1.00027424,0.9931660000840337,1.9794306381421878,stablecoin
CRV,1.6286383406900569,4,731,0.2125233,1.24345079,0.5492076901504788,485.0891596356729,volatile
sdeUSD,1.5749853687052313,3,158,1e-08,1.0691939749020625,0.7653907421122393,10691939649.020624,stablecoin
GMX,1.5242567505442681,4,731,7.6793076,61.345102999999995,24.058762999507522,698.8363820717378,volatile
PT-sUSDE-25SEP2025,1.433715079027112,1,169,0.98479176,1.00315,0.9963149646745562,1.8641748180346251,stablecoin
UNI,1.386624334118919,6,731,4.66896913,18.16163,8.448638788454172,288.9858659228274,volatile
LBTC,1.2738757635244293,4,341,75126.0355,124552.801813375,101861.53388103242,65.79179372958528,volatile
USN,1.2539676336883012,1,328,0.99966426,1.00003623,0.999881738597561,0.03720949271508456,stablecoin
WBTC.e,1.2486251717511947,2,731,39654.87385408,124323.08000000002,83780.84261277637,213.5127360573074,volatile
LINK,1.2477955819336706,10,731,9.3803822,29.53085,16.277114776101232,214.8149976234444,volatile
EURC,1.2339493869988634,5,472,1.02110109,1.1874586,1.1175544559745763,16.291972619478855,stablecoin (EUR)
WELL,1.15965446444108,1,353,0.00701151,0.05937971,0.025467162776203964,746.8890438721473,volatile
tETH,1.1387874797581845,5,285,1754.74,5828.86645592,3820.0106701080704,232.17835439552297,volatile
COMP,1.0651101933544476,3,731,23.963659400962356,121.14,52.03380118790978,405.5154472573381,volatile
PT-sUSDE-31JUL2025,1.0215249612289008,1,242,0.9822557,1.00315,0.9968312620661157,2.127175235531853,stablecoin
