csu,variable,shock,horizon,fevd_share
aave_v2_polygon,basket_return,return_shock,0,1.0
aave_v2_polygon,basket_return,return_shock,1,0.9995600063277594
aave_v2_polygon,basket_return,return_shock,2,0.9882176755274124
aave_v2_polygon,basket_return,return_shock,3,0.9877190809848376
aave_v2_polygon,basket_return,return_shock,4,0.9861706970440878
aave_v2_polygon,basket_return,return_shock,5,0.9851508710382754
aave_v2_polygon,basket_return,return_shock,6,0.9851395387033497
aave_v2_polygon,basket_return,return_shock,7,0.9850026729403685
aave_v2_polygon,basket_return,return_shock,8,0.9849426797508387
aave_v2_polygon,basket_return,return_shock,9,0.9848896898748312
aave_v2_polygon,basket_return,return_shock,10,0.9848526201289084
aave_v2_polygon,basket_return,return_shock,11,0.9848108086552343
aave_v2_polygon,basket_return,return_shock,12,0.9847833578238677
aave_v2_polygon,basket_return,return_shock,13,0.9847643923038862
aave_v2_polygon,basket_return,return_shock,14,0.9847505170450648
aave_v2_polygon,basket_return,return_shock,15,0.9847397802716709
aave_v2_polygon,basket_return,return_shock,16,0.9847318069210692
aave_v2_polygon,basket_return,return_shock,17,0.9847258295575565
aave_v2_polygon,basket_return,return_shock,18,0.984721309812482
aave_v2_polygon,basket_return,return_shock,19,0.9847179301178548
aave_v2_polygon,basket_return,return_shock,20,0.9847154121742198
aave_v2_polygon,basket_return,return_shock,21,0.9847135313952315
aave_v2_polygon,basket_return,return_shock,22,0.98471212115125
aave_v2_polygon,basket_return,return_shock,23,0.9847110658228359
aave_v2_polygon,basket_return,return_shock,24,0.984710275901819
aave_v2_polygon,basket_return,return_shock,25,0.9847096846771071
aave_v2_polygon,basket_return,return_shock,26,0.984709242119863
aave_v2_polygon,basket_return,return_shock,27,0.984708910995297
aave_v2_polygon,basket_return,return_shock,28,0.9847086631945136
aave_v2_polygon,basket_return,return_shock,29,0.9847084777341685
aave_v2_polygon,basket_return,return_shock,30,0.9847083389288572
aave_v2_polygon,basket_return,liquidation_shock,0,0.0
aave_v2_polygon,basket_return,liquidation_shock,1,0.00043999367224055225
aave_v2_polygon,basket_return,liquidation_shock,2,0.011782324472587683
aave_v2_polygon,basket_return,liquidation_shock,3,0.012280919015162345
aave_v2_polygon,basket_return,liquidation_shock,4,0.01382930295591221
aave_v2_polygon,basket_return,liquidation_shock,5,0.01484912896172463
aave_v2_polygon,basket_return,liquidation_shock,6,0.014860461296650349
aave_v2_polygon,basket_return,liquidation_shock,7,0.014997327059631561
aave_v2_polygon,basket_return,liquidation_shock,8,0.015057320249161248
aave_v2_polygon,basket_return,liquidation_shock,9,0.01511031012516882
aave_v2_polygon,basket_return,liquidation_shock,10,0.015147379871091618
aave_v2_polygon,basket_return,liquidation_shock,11,0.015189191344765735
aave_v2_polygon,basket_return,liquidation_shock,12,0.015216642176132257
aave_v2_polygon,basket_return,liquidation_shock,13,0.015235607696113828
aave_v2_polygon,basket_return,liquidation_shock,14,0.015249482954935155
aave_v2_polygon,basket_return,liquidation_shock,15,0.015260219728329099
aave_v2_polygon,basket_return,liquidation_shock,16,0.015268193078930728
aave_v2_polygon,basket_return,liquidation_shock,17,0.015274170442443514
aave_v2_polygon,basket_return,liquidation_shock,18,0.0152786901875181
aave_v2_polygon,basket_return,liquidation_shock,19,0.015282069882145139
aave_v2_polygon,basket_return,liquidation_shock,20,0.015284587825780155
aave_v2_polygon,basket_return,liquidation_shock,21,0.015286468604768478
aave_v2_polygon,basket_return,liquidation_shock,22,0.015287878848750063
aave_v2_polygon,basket_return,liquidation_shock,23,0.015288934177164105
aave_v2_polygon,basket_return,liquidation_shock,24,0.01528972409818097
aave_v2_polygon,basket_return,liquidation_shock,25,0.015290315322892952
aave_v2_polygon,basket_return,liquidation_shock,26,0.015290757880137004
aave_v2_polygon,basket_return,liquidation_shock,27,0.015291089004703006
aave_v2_polygon,basket_return,liquidation_shock,28,0.015291336805486387
aave_v2_polygon,basket_return,liquidation_shock,29,0.015291522265831458
aave_v2_polygon,basket_return,liquidation_shock,30,0.015291661071142737
aave_v2_polygon,liquidation,return_shock,0,0.012280737873887275
aave_v2_polygon,liquidation,return_shock,1,0.07034165755374003
aave_v2_polygon,liquidation,return_shock,2,0.06976239582552776
aave_v2_polygon,liquidation,return_shock,3,0.07708324528638885
aave_v2_polygon,liquidation,return_shock,4,0.07339425015761503
aave_v2_polygon,liquidation,return_shock,5,0.07258427155894749
aave_v2_polygon,liquidation,return_shock,6,0.07145105484422958
aave_v2_polygon,liquidation,return_shock,7,0.07056649013216366
aave_v2_polygon,liquidation,return_shock,8,0.06993305408255387
aave_v2_polygon,liquidation,return_shock,9,0.06944514873745657
aave_v2_polygon,liquidation,return_shock,10,0.06911040550241307
aave_v2_polygon,liquidation,return_shock,11,0.0688305580490943
aave_v2_polygon,liquidation,return_shock,12,0.06862591745475773
aave_v2_polygon,liquidation,return_shock,13,0.06847488634944218
aave_v2_polygon,liquidation,return_shock,14,0.06836480161543922
aave_v2_polygon,liquidation,return_shock,15,0.06828160311983494
aave_v2_polygon,liquidation,return_shock,16,0.06821969441011186
aave_v2_polygon,liquidation,return_shock,17,0.06817336753629426
aave_v2_polygon,liquidation,return_shock,18,0.06813871980076845
aave_v2_polygon,liquidation,return_shock,19,0.06811277099634885
aave_v2_polygon,liquidation,return_shock,20,0.06809338998267946
aave_v2_polygon,liquidation,return_shock,21,0.06807890125084806
aave_v2_polygon,liquidation,return_shock,22,0.06806806068867725
aave_v2_polygon,liquidation,return_shock,23,0.06805994875324152
aave_v2_polygon,liquidation,return_shock,24,0.06805387916144397
aave_v2_polygon,liquidation,return_shock,25,0.06804933739023063
aave_v2_polygon,liquidation,return_shock,26,0.06804593853240297
aave_v2_polygon,liquidation,return_shock,27,0.06804339516469295
aave_v2_polygon,liquidation,return_shock,28,0.06804149188411603
aave_v2_polygon,liquidation,return_shock,29,0.06804006754721285
aave_v2_polygon,liquidation,return_shock,30,0.06803900159585548
aave_v2_polygon,liquidation,liquidation_shock,0,0.9877192621261127
aave_v2_polygon,liquidation,liquidation_shock,1,0.92965834244626
aave_v2_polygon,liquidation,liquidation_shock,2,0.9302376041744722
aave_v2_polygon,liquidation,liquidation_shock,3,0.9229167547136112
aave_v2_polygon,liquidation,liquidation_shock,4,0.926605749842385
aave_v2_polygon,liquidation,liquidation_shock,5,0.9274157284410525
aave_v2_polygon,liquidation,liquidation_shock,6,0.9285489451557705
aave_v2_polygon,liquidation,liquidation_shock,7,0.9294335098678363
