csu,variable,shock,horizon,irf
aave_v2_polygon,basket_return,return_shock,0,0.9839350237342728
aave_v2_polygon,basket_return,return_shock,1,-0.08042828034197833
aave_v2_polygon,basket_return,return_shock,2,0.06249145831998765
aave_v2_polygon,basket_return,return_shock,3,-0.048561324221886734
aave_v2_polygon,basket_return,return_shock,4,-0.021199106147820085
aave_v2_polygon,basket_return,return_shock,5,-0.037340099193069014
aave_v2_polygon,basket_return,return_shock,6,0.017391620581087702
aave_v2_polygon,basket_return,return_shock,7,0.008131405677451386
aave_v2_polygon,basket_return,return_shock,8,0.0038000184998326744
aave_v2_polygon,basket_return,return_shock,9,-0.0010332801750390442
aave_v2_polygon,basket_return,return_shock,10,0.00035663739724092156
aave_v2_polygon,basket_return,return_shock,11,-0.00017352544857038163
aave_v2_polygon,basket_return,return_shock,12,7.557498494145196e-05
aave_v2_polygon,basket_return,return_shock,13,0.00042284849097294424
aave_v2_polygon,basket_return,return_shock,14,0.00045623918191330895
aave_v2_polygon,basket_return,return_shock,15,0.00029393468474284016
aave_v2_polygon,basket_return,return_shock,16,0.0001829368858420223
aave_v2_polygon,basket_return,return_shock,17,0.00017525609176394572
aave_v2_polygon,basket_return,return_shock,18,0.0001510337290705484
aave_v2_polygon,basket_return,return_shock,19,0.00013579763394931907
aave_v2_polygon,basket_return,return_shock,20,0.00011909993498528783
aave_v2_polygon,basket_return,return_shock,21,0.0001062244122573817
aave_v2_polygon,basket_return,return_shock,22,8.971115698306077e-05
aave_v2_polygon,basket_return,return_shock,23,7.686944471709701e-05
aave_v2_polygon,basket_return,return_shock,24,6.633190330418414e-05
aave_v2_polygon,basket_return,return_shock,25,5.768751301691177e-05
aave_v2_polygon,basket_return,return_shock,26,4.9895376757328835e-05
aave_v2_polygon,basket_return,return_shock,27,4.321831973601217e-05
aave_v2_polygon,basket_return,return_shock,28,3.740237841666541e-05
aave_v2_polygon,basket_return,return_shock,29,3.2345664531705125e-05
aave_v2_polygon,basket_return,return_shock,30,2.7962263823487322e-05
aave_v2_polygon,basket_return,liquidation_shock,0,0.0
aave_v2_polygon,basket_return,liquidation_shock,1,-0.020712440749754254
aave_v2_polygon,basket_return,liquidation_shock,2,0.10600698771573058
aave_v2_polygon,basket_return,liquidation_shock,3,-0.023003303618671558
aave_v2_polygon,basket_return,liquidation_shock,4,-0.03956635428365615
aave_v2_polygon,basket_return,liquidation_shock,5,-0.03242084222736022
aave_v2_polygon,basket_return,liquidation_shock,6,-0.004004663559576122
aave_v2_polygon,basket_return,liquidation_shock,7,-0.011817592002101895
aave_v2_polygon,basket_return,liquidation_shock,8,-0.007811000706837252
aave_v2_polygon,basket_return,liquidation_shock,9,-0.007329247131004584
aave_v2_polygon,basket_return,liquidation_shock,10,-0.006129681250602948
aave_v2_polygon,basket_return,liquidation_shock,11,-0.0065100499086235995
aave_v2_polygon,basket_return,liquidation_shock,12,-0.005275066262295523
aave_v2_polygon,basket_return,liquidation_shock,13,-0.004385037733171126
aave_v2_polygon,basket_return,liquidation_shock,14,-0.003750915661111435
aave_v2_polygon,basket_return,liquidation_shock,15,-0.0032994083731777406
aave_v2_polygon,basket_return,liquidation_shock,16,-0.0028432233961007396
aave_v2_polygon,basket_return,liquidation_shock,17,-0.0024617934040597924
aave_v2_polygon,basket_return,liquidation_shock,18,-0.0021406997688916112
aave_v2_polygon,basket_return,liquidation_shock,19,-0.0018511458344522926
aave_v2_polygon,basket_return,liquidation_shock,20,-0.0015978161321568616
aave_v2_polygon,basket_return,liquidation_shock,21,-0.0013809402046102417
aave_v2_polygon,basket_return,liquidation_shock,22,-0.001195784380877966
aave_v2_polygon,basket_return,liquidation_shock,23,-0.0010344267746432102
aave_v2_polygon,basket_return,liquidation_shock,24,-0.0008949485824047285
aave_v2_polygon,basket_return,liquidation_shock,25,-0.0007742532561817142
aave_v2_polygon,basket_return,liquidation_shock,26,-0.0006698718013708189
aave_v2_polygon,basket_return,liquidation_shock,27,-0.0005794325567727018
aave_v2_polygon,basket_return,liquidation_shock,28,-0.0005012549488679421
aave_v2_polygon,basket_return,liquidation_shock,29,-0.00043364360896831576
aave_v2_polygon,basket_return,liquidation_shock,30,-0.0003751547976337665
aave_v2_polygon,liquidation,return_shock,0,-0.09412593054890285
aave_v2_polygon,liquidation,return_shock,1,-0.21806166947797925
aave_v2_polygon,liquidation,return_shock,2,-0.043522820961788375
aave_v2_polygon,liquidation,return_shock,3,-0.09135833146479364
aave_v2_polygon,liquidation,return_shock,4,0.007662175426513767
aave_v2_polygon,liquidation,return_shock,5,0.034893254054333404
aave_v2_polygon,liquidation,return_shock,6,-0.013703980038991148
aave_v2_polygon,liquidation,return_shock,7,-0.012306854497353924
aave_v2_polygon,liquidation,return_shock,8,-0.010667806618185635
aave_v2_polygon,liquidation,return_shock,9,-0.0058048766184667375
aave_v2_polygon,liquidation,return_shock,10,-0.007097422479441267
aave_v2_polygon,liquidation,return_shock,11,-0.004192026384385474
aave_v2_polygon,liquidation,return_shock,12,-0.0038167783041456313
aave_v2_polygon,liquidation,return_shock,13,-0.003413830726819127
aave_v2_polygon,liquidation,return_shock,14,-0.003310390921935369
aave_v2_polygon,liquidation,return_shock,15,-0.002729181098456669
aave_v2_polygon,liquidation,return_shock,16,-0.002355450375976036
aave_v2_polygon,liquidation,return_shock,17,-0.0020263029847824
aave_v2_polygon,liquidation,return_shock,18,-0.0017542843263272127
aave_v2_polygon,liquidation,return_shock,19,-0.001508781783046786
aave_v2_polygon,liquidation,return_shock,20,-0.0013102513661523818
aave_v2_polygon,liquidation,return_shock,21,-0.0011372664024509043
aave_v2_polygon,liquidation,return_shock,22,-0.0009832985357747224
aave_v2_polygon,liquidation,return_shock,23,-0.0008497982677491977
aave_v2_polygon,liquidation,return_shock,24,-0.000734984813570195
aave_v2_polygon,liquidation,return_shock,25,-0.0006359590982880325
aave_v2_polygon,liquidation,return_shock,26,-0.0005500507171224683
aave_v2_polygon,liquidation,return_shock,27,-0.0004759144337430229
aave_v2_polygon,liquidation,return_shock,28,-0.00041175376058165945
aave_v2_polygon,liquidation,return_shock,29,-0.00035622280297467547
aave_v2_polygon,liquidation,return_shock,30,-0.00030814536817926346
aave_v2_polygon,liquidation,liquidation_shock,0,0.8441387046209734
aave_v2_polygon,liquidation,liquidation_shock,1,0.18157793778163528
aave_v2_polygon,liquidation,liquidation_shock,2,0.17865421040782034
aave_v2_polygon,liquidation,liquidation_shock,3,0.14337201913273256
aave_v2_polygon,liquidation,liquidation_shock,4,0.21024178856491943
aave_v2_polygon,liquidation,liquidation_shock,5,0.1603104353343911
aave_v2_polygon,liquidation,liquidation_shock,6,0.13146502994069165
aave_v2_polygon,liquidation,liquidation_shock,7,0.11808822847777052
aave_v2_polygon,liquidation,liquidation_shock,8,0.10137084298653634
aave_v2_polygon,liquidation,liquidation_shock,9,0.08556469007045815
aave_v2_polygon,liquidation,liquidation_shock,10,0.07382548869489589
aave_v2_polygon,liquidation,liquidation_shock,11,0.06531067769954353
aave_v2_polygon,liquidation,liquidation_shock,12,0.056254664044181286
aave_v2_polygon,liquidation,liquidation_shock,13,0.048580157542059604
aave_v2_polygon,liquidation,liquidation_shock,14,0.04195687919474477
aave_v2_polygon,liquidation,liquidation_shock,15,0.03637101111998472
aave_v2_polygon,liquidation,liquidation_shock,16,0.03140903986116225
aave_v2_polygon,liquidation,liquidation_shock,17,0.027180514034504652
aave_v2_polygon,liquidation,liquidation_shock,18,0.023521986697075867
aave_v2_polygon,liquidation,liquidation_shock,19,0.02035568398280944
aave_v2_polygon,liquidation,liquidation_shock,20,0.017604308093335366
aave_v2_polygon,liquidation,liquidation_shock,21,0.015229384185328909
aave_v2_polygon,liquidation,liquidation_shock,22,0.013175284156831325
