csu,variable,shock,horizon,irf
aave_v2_polygon,basket_return,return_shock,0,0.1901957467880818
aave_v2_polygon,basket_return,return_shock,1,-0.015546877053392699
aave_v2_polygon,basket_return,return_shock,2,0.012079669181748971
aave_v2_polygon,basket_return,return_shock,3,-0.009386958592394088
aave_v2_polygon,basket_return,return_shock,4,-0.004097811062484708
aave_v2_polygon,basket_return,return_shock,5,-0.007217883173030335
aave_v2_polygon,basket_return,return_shock,6,0.0033618198198911513
aave_v2_polygon,basket_return,return_shock,7,0.001571809863409626
aave_v2_polygon,basket_return,return_shock,8,0.0007345478501631132
aave_v2_polygon,basket_return,return_shock,9,-0.00019973422003722238
aave_v2_polygon,basket_return,return_shock,10,6.893841002158865e-05
aave_v2_polygon,basket_return,return_shock,11,-3.3542664384811874e-05
aave_v2_polygon,basket_return,return_shock,12,1.460872959363161e-05
aave_v2_polygon,basket_return,return_shock,13,8.173708891221699e-05
aave_v2_polygon,basket_return,return_shock,14,8.819154702782507e-05
aave_v2_polygon,basket_return,return_shock,15,5.6817905169601865e-05
aave_v2_polygon,basket_return,return_shock,16,3.536190579511897e-05
aave_v2_polygon,basket_return,return_shock,17,3.387719966070274e-05
aave_v2_polygon,basket_return,return_shock,18,2.9194989707490758e-05
aave_v2_polygon,basket_return,return_shock,19,2.6249835383459838e-05
aave_v2_polygon,basket_return,return_shock,20,2.3022151392647673e-05
aave_v2_polygon,basket_return,return_shock,21,2.0533298367346297e-05
aave_v2_polygon,basket_return,return_shock,22,1.7341267549211795e-05
aave_v2_polygon,basket_return,return_shock,23,1.485895012423286e-05
aave_v2_polygon,basket_return,return_shock,24,1.2822031516810092e-05
aave_v2_polygon,basket_return,return_shock,25,1.1151061151332554e-05
aave_v2_polygon,basket_return,return_shock,26,9.644832447996841e-06
aave_v2_polygon,basket_return,return_shock,27,8.354149815625278e-06
aave_v2_polygon,basket_return,return_shock,28,7.2299218170013e-06
aave_v2_polygon,basket_return,return_shock,29,6.252453335400197e-06
aave_v2_polygon,basket_return,return_shock,30,5.40513704818564e-06
aave_v2_polygon,basket_return,liquidation_shock,0,0.0
aave_v2_polygon,basket_return,liquidation_shock,1,-0.018530309599916
aave_v2_polygon,basket_return,liquidation_shock,2,0.0948387650620213
aave_v2_polygon,basket_return,liquidation_shock,3,-0.02057982171318508
aave_v2_polygon,basket_return,liquidation_shock,4,-0.03539789460229645
aave_v2_polygon,basket_return,liquidation_shock,5,-0.029005188293424234
aave_v2_polygon,basket_return,liquidation_shock,6,-0.0035827576527081985
aave_v2_polygon,basket_return,liquidation_shock,7,-0.010572565598143593
aave_v2_polygon,basket_return,liquidation_shock,8,-0.0069880833037301165
aave_v2_polygon,basket_return,liquidation_shock,9,-0.006557084223568505
aave_v2_polygon,basket_return,liquidation_shock,10,-0.005483896982243416
aave_v2_polygon,basket_return,liquidation_shock,11,-0.005824192415330455
aave_v2_polygon,basket_return,liquidation_shock,12,-0.004719318798851241
aave_v2_polygon,basket_return,liquidation_shock,13,-0.003923058020283722
aave_v2_polygon,basket_return,liquidation_shock,14,-0.003355743020502939
aave_v2_polygon,basket_return,liquidation_shock,15,-0.002951803671533212
aave_v2_polygon,basket_return,liquidation_shock,16,-0.0025436794450261206
aave_v2_polygon,basket_return,liquidation_shock,17,-0.0022024344933274124
aave_v2_polygon,basket_return,liquidation_shock,18,-0.0019151692433206275
aave_v2_polygon,basket_return,liquidation_shock,19,-0.001656120871578248
aave_v2_polygon,basket_return,liquidation_shock,20,-0.0014294803770510838
aave_v2_polygon,basket_return,liquidation_shock,21,-0.001235453119193726
aave_v2_polygon,basket_return,liquidation_shock,22,-0.0010698041365634556
aave_v2_polygon,basket_return,liquidation_shock,23,-0.0009254461424498534
aave_v2_polygon,basket_return,liquidation_shock,24,-0.0008006624862964215
aave_v2_polygon,basket_return,liquidation_shock,25,-0.0006926828527420393
aave_v2_polygon,basket_return,liquidation_shock,26,-0.0005992983647666915
aave_v2_polygon,basket_return,liquidation_shock,27,-0.0005183872243253833
aave_v2_polygon,basket_return,liquidation_shock,28,-0.00044844591244627875
aave_v2_polygon,basket_return,liquidation_shock,29,-0.00038795767371371435
aave_v2_polygon,basket_return,liquidation_shock,30,-0.00033563087190146857
aave_v2_polygon,liquidation,return_shock,0,-0.018194648245092364
aave_v2_polygon,liquidation,return_shock,1,-0.04215156597923985
aave_v2_polygon,liquidation,return_shock,2,-0.008413010245061555
aave_v2_polygon,liquidation,return_shock,3,-0.017659668229222613
aave_v2_polygon,liquidation,return_shock,4,0.0014811071281274418
aave_v2_polygon,liquidation,return_shock,5,0.006744905255575606
