csu,lam_basket_return_basket_return,lam_basket_return_liquidation,lam_liquidation_basket_return,lam_liquidation_liquidation
aave_v2_polygon,0.9811394779351151,0.0,0.0,0.4467750006584996
aave_v3_arbitrum,0.9850114614686948,0.0,0.0,0.6330490371698733
aave_v3_avalanche,0.914009684692352,0.0,0.0,0.5780728988446728
aave_v3_base,0.9801694305118129,0.0,0.0,0.23505871232248332
aave_v3_binance,0.9218219474327206,0.0,0.0,0.5392719128488087
aave_v3_ethereum,0.9844321082877752,0.0,0.0,0.5672743238172723
aave_v3_gnosis,0.9572126523425944,0.0,0.0,0.3027149351339218
aave_v3_linea,0.9654849116381256,0.0,0.0,0.5952033276159091
aave_v3_optimism,0.9830024339617768,0.0,0.0,0.40952534744069785
aave_v3_polygon,0.9661759438128033,0.0,0.0,0.572583232286096
aave_v3_scroll,0.9668902740160781,0.0,0.0,0.5798860267199243
aave_v3_sonic,0.7451753377285322,0.0,0.0,0.4607679609324576
benqi_lending_avalanche,0.8958757989439465,0.0,0.0,0.4457165478452915
compound_v2_ethereum,0.956243945360887,0.0,0.0,0.38850004816809275
compound_v3_arb_usdc,0.9866690041783025,0.0,0.0,0.7174369244433472
compound_v3_arb_usdc_e,0.9567457462705203,0.0,0.0,0.4946964183575674
compound_v3_arb_usdt,0.9778908697110542,0.0,0.0,0.709163773312364
compound_v3_eth_usdc,0.9710606403903743,0.0,0.0,0.6975766453203712
compound_v3_eth_usds,0.8994460304834523,0.0,0.0,0.3735329331834324
compound_v3_eth_usdt,0.9758971801617037,0.0,0.0,0.6208433129255991
euler_v2_sonic,0.6853610548908001,0.0,0.0,0.2953678145459941
fluid_lending_arbitrum,0.7641086290867208,0.0,0.0,0.2092441342390707
fluid_lending_ethereum,0.735506856850556,0.0,0.0,0.15423962915689432
keom_lending_polygon,0.8581622883879509,0.0,0.0,0.5018078040704695
layerbank_lending_scroll,0.7467985260643845,0.0,0.0,0.40345747518257347
lodestar_lending_arbitrum,0.9770059528229811,0.0,0.0,0.4016971268481998
mendi_lending_linea,0.9751404642384252,0.0,0.0,0.5299311626602164
moonwell_lending_base,0.9745609953769953,0.0,0.0,0.15762636421620274
morpho_ethereum,0.8114550017354896,0.0,0.0,0.3187887904793032
sparklend_ethereum,0.9777955618701195,0.0,0.0,0.5258899014246534
sparklend_gnosis,0.9326653396984305,0.0,0.0,0.5318899361322635
venus_core_pool_binance,0.762244478310896,0.0,0.0,0.22574853334664713
zerolend_base,0.9310230615161911,0.0,0.0,0.568503738569049
zerolend_ethereum,0.8605463359728942,0.0,0.0,0.1795599264307386
zerolend_linea,0.952165731795464,0.0,0.0,0.5676065952645448
zerolend_zksync,0.9367068455519784,0.0,0.0,0.5478879617570412
